id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
SLC1A2	SLC1A2	0.00000E+00	2.63612184332306	0.993	0.344	0	Astro2	SLC1A2
GPC5	GPC5	0.00000E+00	2.41280266256884	0.991	0.361	0	Astro2	GPC5
PITPNC1	PITPNC1	0.00000E+00	2.22412770443372	0.981	0.225	0	Astro2	PITPNC1
RFX4	RFX4	0.00000E+00	2.20525579949468	0.841	0.097	0	Astro2	RFX4
CABLES1	CABLES1	0.00000E+00	2.19177877456492	0.879	0.102	0	Astro2	CABLES1
HPSE2	HPSE2	0.00000E+00	2.13427432959193	0.63	0.049	0	Astro2	HPSE2
SPARCL1	SPARCL1	0.00000E+00	2.07089826439205	0.948	0.24	0	Astro2	SPARCL1
TLE1	TLE1	0.00000E+00	2.04566458187852	0.809	0.118	0	Astro2	TLE1
COL5A3	COL5A3	0.00000E+00	2.03013360638648	0.809	0.059	0	Astro2	COL5A3
ADGRV1	ADGRV1	0.00000E+00	1.98351471451352	0.96	0.269	0	Astro2	ADGRV1
ZNRF3	ZNRF3	0.00000E+00	1.96169620504903	0.871	0.161	0	Astro2	ZNRF3
NFATC2	NFATC2	0.00000E+00	1.91330813325739	0.605	0.058	0	Astro2	NFATC2
ATP1B3	ATP1B3	0.00000E+00	1.89094377866351	0.749	0.241	0	Astro2	ATP1B3
SLC14A1	SLC14A1	0.00000E+00	1.8707104028013	0.793	0.103	0	Astro2	SLC14A1
PDE7B	PDE7B	0.00000E+00	1.84340401120902	0.808	0.122	0	Astro2	PDE7B
SLC4A4	SLC4A4	0.00000E+00	1.83965743713599	0.805	0.139	0	Astro2	SLC4A4
GPM6A	GPM6A	0.00000E+00	1.83254491848468	0.992	0.542	0	Astro2	GPM6A
TFRC	TFRC	0.00000E+00	1.81562654543682	0.64	0.078	0	Astro2	TFRC
ALDH1L1	ALDH1L1	0.00000E+00	1.78432921120849	0.658	0.048	0	Astro2	ALDH1L1
GLIS3	GLIS3	0.00000E+00	1.77242700478934	0.874	0.132	0	Astro2	GLIS3
FAM184A	FAM184A	0.00000E+00	1.76812703258677	0.774	0.128	0	Astro2	FAM184A
MAPK4	MAPK4	0.00000E+00	1.76792637919107	0.724	0.087	0	Astro2	MAPK4
EEF2K	EEF2K	0.00000E+00	1.76474979027987	0.714	0.09	0	Astro2	EEF2K
PAMR1	PAMR1	0.00000E+00	1.75715051707378	0.72	0.064	0	Astro2	PAMR1
GLI3	GLI3	0.00000E+00	1.72060040769489	0.703	0.045	0	Astro2	GLI3
NETO2	NETO2	3.05660E-06	-0.252930765274714	0.11	0.139	0.0525123708314232	Astro2	NETO2
PLA2G4C	PLA2G4C	3.20771E-06	-0.300627934145185	0.172	0.202	0.0551083800815068	Astro2	PLA2G4C
ZNF608	ZNF608	3.54594E-06	-0.272878263816264	0.235	0.262	0.0609193008368746	Astro2	ZNF608
