id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
ATP10A	ATP10A	0.00000E+00	2.36808123478575	0.413	0.013	0	Endo	ATP10A
FLT1	FLT1	0.00000E+00	2.21926795221503	0.317	0.017	0	Endo	FLT1
AKAP12	AKAP12	0.00000E+00	2.13868191202931	0.404	0.078	0	Endo	AKAP12
ABCB1	ABCB1	0.00000E+00	1.93268157539763	0.327	0.036	0	Endo	ABCB1
MECOM	MECOM	0.00000E+00	1.89120492555047	0.317	0.026	0	Endo	MECOM
TACC1	TACC1	0.00000E+00	1.88462316156156	0.731	0.376	0	Endo	TACC1
CLDN5	CLDN5	0.00000E+00	1.74670480218422	0.283	0.005	0	Endo	CLDN5
ZIC1	ZIC1	3.24918E-06	0.283133639327897	0.101	0.072	0.0558209899748985	Endo	ZIC1
GABARAPL1	GABARAPL1	3.37123E-06	0.349765833269227	0.114	0.085	0.0579177102898581	Endo	GABARAPL1
GBE1	GBE1	3.62554E-06	0.413539811808599	0.182	0.151	0.0622867370488236	Endo	GBE1
CALM3	CALM3	3.86043E-06	0.417536926796149	0.157	0.128	0.0663221692414566	Endo	CALM3
AFF1	AFF1	4.41465E-06	0.335798716599531	0.258	0.23	0.0758437388073559	Endo	AFF1
ATP1A1	ATP1A1	5.17246E-06	0.48019698417457	0.224	0.202	0.088862855742864	Endo	ATP1A1
EML4	EML4	5.63501E-06	0.415105274765533	0.218	0.192	0.0968093925159222	Endo	EML4
ZNF385D	ZNF385D	5.76662E-06	0.253437449696833	0.206	0.173	0.0990705861317035	Endo	ZNF385D
CAP1	CAP1	6.39704E-06	0.330013116397188	0.115	0.086	0.109901220480605	Endo	CAP1
NHSL1	NHSL1	6.59790E-06	-0.320290111299445	0.156	0.205	0.113351888100934	Endo	NHSL1
SRGAP2	SRGAP2	7.05599E-06	-0.264021180987611	0.259	0.329	0.121221833540251	Endo	SRGAP2
GALNTL6	GALNTL6	8.07140E-06	-0.273105421473789	0.147	0.2	0.138666602494718	Endo	GALNTL6
SRSF3	SRSF3	1.30824E-05	0.321214338115101	0.13	0.101	0.224754792530692	Endo	SRSF3
TMOD3	TMOD3	1.56739E-05	0.358384808807002	0.109	0.082	0.269277286347617	Endo	TMOD3
EFNB2	EFNB2	1.76685E-05	0.397169085859241	0.122	0.095	0.303545042799437	Endo	EFNB2
NAP1L1	NAP1L1	2.53185E-05	0.427213269658696	0.286	0.279	0.434971772006297	Endo	NAP1L1
SOD1	SOD1	2.57481E-05	0.334852072909799	0.121	0.094	0.442351865458733	Endo	SOD1
HINT1	HINT1	2.86906E-05	0.390828573251286	0.142	0.116	0.492903945324483	Endo	HINT1
YWHAB	YWHAB	3.29502E-05	0.396442805251386	0.197	0.173	0.566083800131562	Endo	YWHAB
RUSC2	RUSC2	3.49852E-05	0.392194383665732	0.134	0.108	0.601045509758561	Endo	RUSC2
PITPNB	PITPNB	5.31373E-05	0.325806371172997	0.182	0.156	0.912899664969101	Endo	PITPNB
PABPC1	PABPC1	5.63159E-05	0.35740459245435	0.208	0.184	0.967507700093579	Endo	PABPC1
ELOVL5	ELOVL5	5.92295E-05	0.273068954997124	0.298	0.28	1	Endo	ELOVL5
TTC28	TTC28	5.99393E-05	0.281352489212935	0.399	0.405	1	Endo	TTC28
RNASE1	RNASE1	6.75987E-05	0.317769733654485	0.165	0.138	1	Endo	RNASE1
TBC1D1	TBC1D1	6.82160E-05	0.429396374938402	0.228	0.21	1	Endo	TBC1D1
STK38	STK38	7.66723E-05	0.309078190747899	0.131	0.106	1	Endo	STK38
RNF19A	RNF19A	8.77761E-05	0.361185432773829	0.22	0.2	1	Endo	RNF19A
PRKAR1A	PRKAR1A	9.54696E-05	0.380281257745901	0.161	0.138	1	Endo	PRKAR1A
CNOT6L	CNOT6L	1.14451E-04	0.407976428201613	0.159	0.136	1	Endo	CNOT6L
