id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
USP3	USP3	3.37558E-06	-0.318892172420984	0.102	0.138	0.0579923891683661	In3	USP3
HBP1	HBP1	4.49433E-06	-0.312958003365698	0.088	0.122	0.0772125930296528	In3	HBP1
OLIG1	OLIG1	4.75553E-06	-0.326048841766474	0.072	0.106	0.0817000586196002	In3	OLIG1
APOD	APOD	7.63932E-06	-0.296723436822443	0.077	0.111	0.131243494737187	In3	APOD
COL16A1	COL16A1	9.22117E-06	-0.334192094862704	0.084	0.12	0.158419756993311	In3	COL16A1
ZC3H6	ZC3H6	9.91910E-06	-0.366818894621146	0.169	0.2	0.17041013241565	In3	ZC3H6
EMC2	EMC2	9.94578E-06	-0.342363167016597	0.118	0.151	0.17086849512651	In3	EMC2
PKP4	PKP4	1.01334E-05	-0.328797085813231	0.654	0.573	0.174091280960862	In3	PKP4
MMD2	MMD2	1.33967E-05	-0.347358543796041	0.106	0.142	0.230155300320586	In3	MMD2
PCBP3	PCBP3	1.44927E-05	-0.251128797578069	0.095	0.131	0.248984092370666	In3	PCBP3
MARCKSL1	MARCKSL1	1.49375E-05	-0.33997975277111	0.082	0.114	0.256627021852626	In3	MARCKSL1
PLEKHG1	PLEKHG1	1.91763E-05	-0.344492271868251	0.097	0.129	0.329448575956694	In3	PLEKHG1
KCNK1	KCNK1	1.97207E-05	-0.332620963085111	0.139	0.171	0.338801364813342	In3	KCNK1
RHOBTB1	RHOBTB1	2.10155E-05	-0.348602984660239	0.086	0.116	0.361045499750746	In3	RHOBTB1
NDRG2	NDRG2	2.57524E-05	-0.317645197129916	0.128	0.162	0.442426488079704	In3	NDRG2
BPTF	BPTF	2.89567E-05	-0.316094494818999	0.499	0.459	0.49747694407213	In3	BPTF
NSRP1	NSRP1	3.26252E-05	-0.362103694101837	0.153	0.181	0.560501600178403	In3	NSRP1
ATP2B4	ATP2B4	3.89408E-05	-0.323547296862546	0.161	0.192	0.669002652929118	In3	ATP2B4
