id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
IPCEF1	IPCEF1	0.00000E+00	2.20113927468024	0.693	0.128	0	Micro1	IPCEF1
C10orf11	C10orf11	0.00000E+00	2.17802600111733	0.937	0.265	0	Micro1	C10orf11
PDE3B	PDE3B	0.00000E+00	2.00453889943705	0.777	0.233	0	Micro1	PDE3B
ST6GAL1	ST6GAL1	0.00000E+00	1.99909154038825	0.794	0.166	0	Micro1	ST6GAL1
ABCC4	ABCC4	0.00000E+00	1.98521736324504	0.692	0.111	0	Micro1	ABCC4
SRGAP2B	SRGAP2B	0.00000E+00	1.94497603251882	0.787	0.196	0	Micro1	SRGAP2B
PRKCH	PRKCH	0.00000E+00	1.93903986525592	0.641	0.076	0	Micro1	PRKCH
SRGAP2	SRGAP2	0.00000E+00	1.91305801108011	0.876	0.285	0	Micro1	SRGAP2
HS3ST4	HS3ST4	0.00000E+00	1.89976513427961	0.784	0.167	0	Micro1	HS3ST4
TBXAS1	TBXAS1	0.00000E+00	1.87583731598137	0.646	0.082	0	Micro1	TBXAS1
CSGALNACT1	CSGALNACT1	0.00000E+00	1.8648951864095	0.891	0.301	0	Micro1	CSGALNACT1
MRC1	MRC1	0.00000E+00	1.85829601901543	0.349	0.048	0	Micro1	MRC1
FOXP2	FOXP2	0.00000E+00	1.85502099486373	0.648	0.092	0	Micro1	FOXP2
PLA2G4A	PLA2G4A	0.00000E+00	1.85348896181542	0.532	0.063	0	Micro1	PLA2G4A
ARHGAP24	ARHGAP24	0.00000E+00	1.8446945188513	0.802	0.215	0	Micro1	ARHGAP24
DOCK8	DOCK8	0.00000E+00	1.83702593942795	0.654	0.075	0	Micro1	DOCK8
MEF2C	MEF2C	0.00000E+00	1.83197245146716	0.835	0.275	0	Micro1	MEF2C
TMEM156	TMEM156	0.00000E+00	1.79688628202245	0.51	0.057	0	Micro1	TMEM156
ARHGAP15	ARHGAP15	0.00000E+00	1.79638777884096	0.577	0.076	0	Micro1	ARHGAP15
RUNX1	RUNX1	0.00000E+00	1.78845851409556	0.531	0.082	0	Micro1	RUNX1
SMAP2	SMAP2	0.00000E+00	1.78561131160625	0.723	0.196	0	Micro1	SMAP2
LDLRAD4	LDLRAD4	0.00000E+00	1.782121863294	0.929	0.464	0	Micro1	LDLRAD4
IRAK3	IRAK3	0.00000E+00	1.77315148312125	0.57	0.065	0	Micro1	IRAK3
SFMBT2	SFMBT2	0.00000E+00	1.77035748305473	0.784	0.26	0	Micro1	SFMBT2
NHSL1	NHSL1	0.00000E+00	1.75796196075085	0.632	0.17	0	Micro1	NHSL1
APBB1IP	APBB1IP	0.00000E+00	1.73185358252754	0.555	0.067	0	Micro1	APBB1IP
RAB31	RAB31	0.00000E+00	1.70042043909028	0.67	0.193	0	Micro1	RAB31
FGD4	FGD4	0.00000E+00	1.69359898553644	0.77	0.302	0	Micro1	FGD4
LHFPL2	LHFPL2	0.00000E+00	1.67509458722821	0.554	0.098	0	Micro1	LHFPL2
PALD1	PALD1	0.00000E+00	1.66339835124527	0.541	0.074	0	Micro1	PALD1
PLXDC2	PLXDC2	0.00000E+00	1.66316885196151	0.971	0.672	0	Micro1	PLXDC2
