id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
GNB1	GNB1	3.17117E-06	0.25113539388614	0.416	0.312	0.0544806321871036	OPC4	GNB1
FARS2	FARS2	3.76432E-06	0.280345220850433	0.389	0.291	0.0646710654010296	OPC4	FARS2
TPM1	TPM1	4.47182E-06	0.307588855537837	0.159	0.094	0.0768258585733797	OPC4	TPM1
ABAT	ABAT	4.59049E-06	0.281314435654744	0.189	0.116	0.0788646704681576	OPC4	ABAT
LGI1	LGI1	6.71078E-06	-0.294064792357808	0.062	0.146	0.115291231489702	OPC4	LGI1
EVL	EVL	7.10159E-06	0.330780632646291	0.335	0.243	0.122005267568744	OPC4	EVL
ANKFN1	ANKFN1	7.42763E-06	0.281320401804117	0.173	0.104	0.127606731105284	OPC4	ANKFN1
KIF1B	KIF1B	8.26710E-06	-0.30240680088758	0.559	0.607	0.142028711079851	OPC4	KIF1B
FAM78B	FAM78B	8.77178E-06	0.294303541866084	0.141	0.081	0.150699179705979	OPC4	FAM78B
ITPK1	ITPK1	1.13777E-05	0.255271277003405	0.246	0.164	0.195468407500436	OPC4	ITPK1
RNF180	RNF180	1.51401E-05	0.263292945227007	0.214	0.141	0.260107261846524	OPC4	RNF180
N4BP2L1	N4BP2L1	1.70196E-05	0.303513893706012	0.203	0.132	0.292396520154575	OPC4	N4BP2L1
DIP2C	DIP2C	2.04548E-05	-0.300040923808053	0.614	0.634	0.351412652694079	OPC4	DIP2C
KCNH1	KCNH1	2.12491E-05	-0.280837884128289	0.07	0.151	0.365058862606075	OPC4	KCNH1
CTD-2561J22.3	CTD-2561J22.3	2.27194E-05	-0.296043760277336	0.057	0.132	0.390319578312609	OPC4	CTD-2561J22.3
DIS3L2	DIS3L2	3.63589E-05	-0.2914259078834	0.181	0.275	0.624646183135266	OPC4	DIS3L2
MAP3K3	MAP3K3	5.28411E-05	0.259994453114193	0.2	0.132	0.907810006427739	OPC4	MAP3K3
TSEN15	TSEN15	5.30776E-05	-0.280667340822293	0.038	0.101	0.911873624716098	OPC4	TSEN15
CCDC136	CCDC136	5.72662E-05	0.269490063479505	0.114	0.064	0.983833229217242	OPC4	CCDC136
SNED1	SNED1	5.81915E-05	-0.274198864752222	0.054	0.122	0.999729610402401	OPC4	SNED1
RAB11FIP4	RAB11FIP4	5.84427E-05	-0.297772493741519	0.068	0.141	1	OPC4	RAB11FIP4
BORCS5	BORCS5	6.67442E-05	-0.286337059521637	0.068	0.14	1	OPC4	BORCS5
ZC3H13	ZC3H13	6.82224E-05	-0.254488894403259	0.181	0.273	1	OPC4	ZC3H13
PRKCZ	PRKCZ	6.98647E-05	-0.277271956581805	0.051	0.119	1	OPC4	PRKCZ
EFR3B	EFR3B	7.06801E-05	-0.293882701705325	0.073	0.146	1	OPC4	EFR3B
NYAP2	NYAP2	8.47225E-05	-0.261751202630722	0.051	0.118	1	OPC4	NYAP2
MAP3K14	MAP3K14	8.49686E-05	0.254731497961949	0.127	0.075	1	OPC4	MAP3K14
ADCY3	ADCY3	9.51546E-05	-0.28300677881669	0.041	0.102	1	OPC4	ADCY3
NRBP2	NRBP2	1.04960E-04	-0.26194931452488	0.054	0.12	1	OPC4	NRBP2
FAM153C	FAM153C	1.05654E-04	-0.263975593385561	0.049	0.113	1	OPC4	FAM153C
KCNK1	KCNK1	1.10776E-04	-0.291169925393298	0.095	0.171	1	OPC4	KCNK1
ATCAY	ATCAY	1.12721E-04	0.272659081464519	0.146	0.091	1	OPC4	ATCAY
PAAF1	PAAF1	1.19933E-04	-0.264692458882571	0.051	0.116	1	OPC4	PAAF1
CAMK2B	CAMK2B	1.36779E-04	-0.286160610299409	0.119	0.198	1	OPC4	CAMK2B
NLK	NLK	1.67326E-04	-0.299868988007948	0.368	0.449	1	OPC4	NLK
ZRANB3	ZRANB3	1.74554E-04	-0.29881788534403	0.119	0.198	1	OPC4	ZRANB3
DNAH7	DNAH7	1.85402E-04	-0.27397177202352	0.046	0.106	1	OPC4	DNAH7
PRKCG	PRKCG	1.87166E-04	-0.275994681812152	0.043	0.102	1	OPC4	PRKCG
KLHL3	KLHL3	2.35010E-04	-0.289440637267353	0.143	0.222	1	OPC4	KLHL3
CBFA2T2	CBFA2T2	2.41148E-04	-0.270623118047868	0.249	0.338	1	OPC4	CBFA2T2
FSD1L	FSD1L	2.48560E-04	-0.263211577317292	0.068	0.132	1	OPC4	FSD1L
RMND5A	RMND5A	2.65281E-04	-0.25133606267809	0.054	0.114	1	OPC4	RMND5A
TCP11L2	TCP11L2	2.90973E-04	-0.29893501027486	0.046	0.102	1	OPC4	TCP11L2
CLVS2	CLVS2	3.06489E-04	-0.271827161789213	0.084	0.15	1	OPC4	CLVS2
RGL1	RGL1	4.07550E-04	-0.283301967097123	0.338	0.409	1	OPC4	RGL1
C6orf62	C6orf62	4.57801E-04	0.274805551124847	0.192	0.131	1	OPC4	C6orf62
MBOAT2	MBOAT2	5.29562E-04	-0.257242078175059	0.268	0.344	1	OPC4	MBOAT2
ZNF565	ZNF565	5.54925E-04	-0.25993451680144	0.124	0.195	1	OPC4	ZNF565
TFEB	TFEB	5.55120E-04	-0.28926477166461	0.105	0.172	1	OPC4	TFEB
PIK3CB	PIK3CB	5.57256E-04	-0.258157792661062	0.146	0.222	1	OPC4	PIK3CB
C9orf85	C9orf85	5.90920E-04	-0.298936592864497	0.1	0.164	1	OPC4	C9orf85
KIF5C	KIF5C	6.25613E-04	-0.251473332952508	0.276	0.355	1	OPC4	KIF5C
ROGDI	ROGDI	6.96092E-04	-0.290580718852232	0.054	0.11	1	OPC4	ROGDI
ADSS	ADSS	7.18542E-04	-0.295382158396756	0.1	0.164	1	OPC4	ADSS
ZNF189	ZNF189	7.33172E-04	-0.28669375668143	0.143	0.212	1	OPC4	ZNF189
AHI1	AHI1	8.60123E-04	-0.285846809039062	0.395	0.449	1	OPC4	AHI1
WDR59	WDR59	8.63918E-04	-0.255788575339515	0.127	0.196	1	OPC4	WDR59
ACSS2	ACSS2	8.81631E-04	-0.286158064498822	0.054	0.106	1	OPC4	ACSS2
FAM126A	FAM126A	9.01971E-04	-0.292045451384377	0.203	0.27	1	OPC4	FAM126A
APP	APP	9.30154E-04	-0.25437951259491	0.541	0.574	1	OPC4	APP
C1orf198	C1orf198	9.68199E-04	-0.282980635962111	0.054	0.106	1	OPC4	C1orf198
DGKZ	DGKZ	1.05728E-03	-0.273873929652075	0.081	0.141	1	OPC4	DGKZ
C21orf91	C21orf91	1.09987E-03	-0.262676779969184	0.07	0.126	1	OPC4	C21orf91
MAPT	MAPT	1.17502E-03	-0.301429726055742	0.357	0.421	1	OPC4	MAPT
FBN1	FBN1	1.19567E-03	-0.302340752216583	0.157	0.224	1	OPC4	FBN1
SAMD4B	SAMD4B	1.28166E-03	-0.274421681586713	0.208	0.279	1	OPC4	SAMD4B
KCNN3	KCNN3	1.29909E-03	-0.279956634302849	0.059	0.112	1	OPC4	KCNN3
KCNB2	KCNB2	1.37524E-03	-0.29128027761059	0.111	0.171	1	OPC4	KCNB2
CLIP4	CLIP4	1.39891E-03	-0.299915400605889	0.205	0.275	1	OPC4	CLIP4
PTPN13	PTPN13	1.46462E-03	-0.287696750108304	0.278	0.343	1	OPC4	PTPN13
MTURN	MTURN	1.59648E-03	-0.263492492451694	0.111	0.171	1	OPC4	MTURN
NDFIP2	NDFIP2	1.64390E-03	-0.254083627134589	0.132	0.196	1	OPC4	NDFIP2
SEPP1	SEPP1	1.74028E-03	-0.299385470033957	0.07	0.122	1	OPC4	SEPP1
BRMS1L	BRMS1L	1.79215E-03	-0.259086161290542	0.076	0.13	1	OPC4	BRMS1L
GTDC1	GTDC1	1.96389E-03	-0.280352194969101	0.389	0.44	1	OPC4	GTDC1
DTNB	DTNB	1.99026E-03	-0.298148524844945	0.376	0.419	1	OPC4	DTNB
KIAA1468	KIAA1468	2.03731E-03	-0.269585055733189	0.211	0.279	1	OPC4	KIAA1468
PLEKHG1	PLEKHG1	2.14896E-03	-0.288660707202528	0.076	0.129	1	OPC4	PLEKHG1
ARHGAP5	ARHGAP5	2.23507E-03	-0.289894533473894	0.246	0.31	1	OPC4	ARHGAP5
PBX1	PBX1	2.43995E-03	-0.264285083137322	0.454	0.493	1	OPC4	PBX1
TTLL5	TTLL5	2.47222E-03	-0.271498336051263	0.17	0.235	1	OPC4	TTLL5
RAP1GDS1	RAP1GDS1	2.52129E-03	-0.284993460277339	0.297	0.36	1	OPC4	RAP1GDS1
GABRG2	GABRG2	2.83530E-03	-0.281535981288996	0.214	0.274	1	OPC4	GABRG2
MYO1E	MYO1E	2.83962E-03	-0.262170596162061	0.273	0.326	1	OPC4	MYO1E
ZNF483	ZNF483	2.93384E-03	-0.265343823573226	0.141	0.199	1	OPC4	ZNF483
