id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
SLC5A11	SLC5A11	0.00000E+00	1.31893380989434	0.754	0.26	0	Olig5	SLC5A11
RNF220	RNF220	0.00000E+00	1.09139395209337	0.958	0.631	0	Olig5	RNF220
MBP	MBP	0.00000E+00	0.950315315126407	0.949	0.772	0	Olig5	MBP
POLR2F	POLR2F	0.00000E+00	0.947356072649415	0.73	0.377	0	Olig5	POLR2F
LDB3	LDB3	0.00000E+00	0.890661075500974	0.565	0.219	0	Olig5	LDB3
ADAMTS18	ADAMTS18	0.00000E+00	0.85349553394363	0.543	0.219	0	Olig5	ADAMTS18
FA2H	FA2H	0.00000E+00	0.842964124687185	0.547	0.237	0	Olig5	FA2H
GSN	GSN	0.00000E+00	0.820674410613127	0.681	0.35	0	Olig5	GSN
AGPAT4	AGPAT4	0.00000E+00	0.817519325003529	0.749	0.469	0	Olig5	AGPAT4
OTUD7A	OTUD7A	0.00000E+00	0.800159106040421	0.855	0.636	0	Olig5	OTUD7A
DAAM2	DAAM2	0.00000E+00	0.771723869788862	0.719	0.402	0	Olig5	DAAM2
FRMD4B	FRMD4B	0.00000E+00	0.754009794413951	0.809	0.513	0	Olig5	FRMD4B
DOCK5	DOCK5	0.00000E+00	0.704124237638017	0.892	0.589	0	Olig5	DOCK5
ST18	ST18	0.00000E+00	0.647350232414484	0.946	0.693	0	Olig5	ST18
SLC24A2	SLC24A2	0.00000E+00	0.641637815259629	0.929	0.757	0	Olig5	SLC24A2
CTNNA3	CTNNA3	0.00000E+00	0.609726394986852	0.967	0.783	0	Olig5	CTNNA3
SLC44A1	SLC44A1	0.00000E+00	0.592232798729497	0.93	0.758	0	Olig5	SLC44A1
FRMD5	FRMD5	9.73836E-304	0.594382410224542	0.917	0.751	1.67304940996509e-299	Olig5	FRMD5
HAPLN2	HAPLN2	2.46866E-303	0.770057161542604	0.472	0.184	4.24115548278221e-299	Olig5	HAPLN2
EVA1C	EVA1C	5.00856E-298	0.791888997061396	0.632	0.32	8.60470081317439e-294	Olig5	EVA1C
SPOCK1	SPOCK1	4.76622E-291	0.591687018338739	0.902	0.734	8.18836242359534e-287	Olig5	SPOCK1
TMEM165	TMEM165	1.75877E-279	0.581448798569437	0.888	0.641	3.02156495766137e-275	Olig5	TMEM165
RP11-654K19.6	RP11-654K19.6	3.59960E-279	0.719516598835876	0.759	0.452	6.18412063229077e-275	Olig5	RP11-654K19.6
C10orf90	C10orf90	3.17260E-277	0.654610528769367	0.795	0.494	5.45052791223383e-273	Olig5	C10orf90
CNTN2	CNTN2	6.27168E-277	0.766288489458707	0.565	0.271	1.07747400183088e-272	Olig5	CNTN2
HIP1	HIP1	2.62202E-275	0.804351354341257	0.66	0.37	4.50463420643888e-271	Olig5	HIP1
ZDHHC20	ZDHHC20	2.98171E-275	0.818206617550345	0.678	0.399	5.12258481246475e-271	Olig5	ZDHHC20
SLC22A15	SLC22A15	1.08160E-271	0.83148192334761	0.566	0.289	1.85818816884147e-267	Olig5	SLC22A15
PLCL1	PLCL1	4.03449E-270	0.579909229795367	0.902	0.726	6.93125322304198e-266	Olig5	PLCL1
UNC5C	UNC5C	5.71675E-251	0.577802481877101	0.881	0.698	9.82137236454371e-247	Olig5	UNC5C
MYO1D	MYO1D	5.84916E-251	0.737072927828497	0.69	0.424	1.00488575443774e-246	Olig5	MYO1D
SRCIN1	SRCIN1	4.35403E-249	0.799373894206892	0.536	0.264	7.48023155350194e-245	Olig5	SRCIN1
MOBP	MOBP	1.84955E-246	0.628110613157024	0.766	0.479	3.17752923818381e-242	Olig5	MOBP
CDK18	CDK18	9.03730E-243	0.719757194542322	0.557	0.275	1.55260822281194e-238	Olig5	CDK18
DSCAML1	DSCAML1	1.74725E-236	0.695437669647127	0.722	0.469	3.00177207595926e-232	Olig5	DSCAML1
TF	TF	9.80110E-235	0.686628204249976	0.682	0.41	1.68382942542485e-230	Olig5	TF
KANK4	KANK4	6.99526E-232	0.633617364954939	0.171	0.038	1.20178623009019e-227	Olig5	KANK4
ZNF536	ZNF536	9.73576E-231	0.594600021274966	0.809	0.557	1.67260383169835e-226	Olig5	ZNF536
MAP4K4	MAP4K4	4.29340E-228	0.594719433817124	0.809	0.622	7.37605464792868e-224	Olig5	MAP4K4
SYNJ2	SYNJ2	1.01692E-224	0.669207516142264	0.651	0.376	1.7470708100045e-220	Olig5	SYNJ2
AFMID	AFMID	6.40702E-218	0.719051628685179	0.29	0.098	1.10072618519609e-213	Olig5	AFMID
SGK1	SGK1	1.15595E-217	0.560985325166742	0.845	0.674	1.98591552356953e-213	Olig5	SGK1
CREB5	CREB5	4.10060E-215	0.584041494841921	0.791	0.54	7.04482234882054e-211	Olig5	CREB5
ADGRE2	ADGRE2	3.72860E-213	0.552409039871233	0.157	0.034	6.40573716536213e-209	Olig5	ADGRE2
PDE1C	PDE1C	7.21350E-211	0.545718553463411	0.806	0.563	1.23927849328814e-206	Olig5	PDE1C
