id	symbol	pVal|float	avg. logFC|float	PCT1|float	PCT2|float	pVal adj.|float	Cluster	Gene
MTDH	MTDH	3.33831E-06	-0.347135053204387	0.327	0.238	0.0573521195358371	Pyr1	MTDH
DPP8	DPP8	3.90037E-06	-0.27561076737545	0.198	0.148	0.0670082714752443	Pyr1	DPP8
KLF13	KLF13	4.35472E-06	-0.332439657812035	0.09	0.107	0.0748140711937005	Pyr1	KLF13
TMEM64	TMEM64	5.19324E-06	-0.335411254147412	0.1	0.117	0.08921994164472	Pyr1	TMEM64
DMXL1	DMXL1	5.31658E-06	-0.355213635504676	0.44	0.308	0.0913387989380472	Pyr1	DMXL1
CDYL	CDYL	5.39757E-06	-0.350509112626237	0.244	0.181	0.092730274719672	Pyr1	CDYL
HNRNPC	HNRNPC	5.51988E-06	-0.351402289868287	0.431	0.302	0.0948314743425619	Pyr1	HNRNPC
SEPT8	SEPT8	5.94279E-06	-0.354183401815005	0.114	0.13	0.102097080573445	Pyr1	SEPT8
INO80D	INO80D	7.00050E-06	-0.259933412062607	0.177	0.134	0.120268513486471	Pyr1	INO80D
MFN1	MFN1	9.80505E-06	-0.267778063954893	0.191	0.144	0.16845078153951	Pyr1	MFN1
AKAP10	AKAP10	9.82436E-06	-0.311211948690389	0.232	0.173	0.168782584652336	Pyr1	AKAP10
RHOA	RHOA	1.04032E-05	-0.259004095146698	0.139	0.105	0.178727405042546	Pyr1	RHOA
RNF170	RNF170	1.07832E-05	-0.257750601846685	0.179	0.135	0.185255857591014	Pyr1	RNF170
ZCCHC6	ZCCHC6	1.14291E-05	-0.317022412570982	0.185	0.139	0.196352650864231	Pyr1	ZCCHC6
TOGARAM1	TOGARAM1	1.35949E-05	-0.352479905236831	0.363	0.264	0.233560426238218	Pyr1	TOGARAM1
PUM1	PUM1	1.45678E-05	-0.343510236762555	0.378	0.274	0.250275618415712	Pyr1	PUM1
RPL41	RPL41	1.55495E-05	-0.287250961338194	0.156	0.119	0.267141265000478	Pyr1	RPL41
HSD17B4	HSD17B4	1.57635E-05	-0.351319722756128	0.302	0.222	0.270816422913769	Pyr1	HSD17B4
FAM169A	FAM169A	1.68666E-05	-0.278012015624811	0.22	0.167	0.289768183336954	Pyr1	FAM169A
CFTR	CFTR	1.71624E-05	-0.309920880738839	0.143	0.107	0.294849257545018	Pyr1	CFTR
KIAA1109	KIAA1109	1.78087E-05	-0.342686336873309	0.49	0.341	0.30595310480439	Pyr1	KIAA1109
ATAD2B	ATAD2B	1.90379E-05	-0.338726353491179	0.304	0.224	0.327070745699089	Pyr1	ATAD2B
MANBA	MANBA	2.11684E-05	-0.294344862450299	0.187	0.142	0.363673435672805	Pyr1	MANBA
SP3	SP3	2.13601E-05	-0.365649371359405	0.126	0.139	0.366967343735022	Pyr1	SP3
OSBPL3	OSBPL3	2.31458E-05	-0.360764412068574	0.092	0.108	0.397644031654872	Pyr1	OSBPL3
TARSL2	TARSL2	2.33279E-05	-0.353818066122095	0.309	0.227	0.400773452666958	Pyr1	TARSL2
CHSY1	CHSY1	2.92030E-05	-0.264222520733523	0.133	0.102	0.501707893632334	Pyr1	CHSY1
STOX2	STOX2	3.23239E-05	-0.345004952785733	0.427	0.303	0.55532512231411	Pyr1	STOX2
TTYH1	TTYH1	3.24429E-05	-0.3669227659891	0.11	0.124	0.557368328694613	Pyr1	TTYH1
CHPT1	CHPT1	4.49769E-05	-0.337843701127956	0.205	0.156	0.772702351522066	Pyr1	CHPT1
ZHX2	ZHX2	4.68906E-05	-0.351316731775236	0.465	0.33	0.805580453451789	Pyr1	ZHX2
SHPRH	SHPRH	5.17976E-05	-0.360214518226425	0.379	0.274	0.889881995243846	Pyr1	SHPRH
ATE1	ATE1	5.64858E-05	-0.372088471117216	0.405	0.289	0.970425456819007	Pyr1	ATE1
KRIT1	KRIT1	5.92772E-05	-0.309185065888026	0.221	0.168	1	Pyr1	KRIT1
COL18A1	COL18A1	6.17982E-05	-0.250676558447195	0.122	0.095	1	Pyr1	COL18A1
NHLRC3	NHLRC3	6.55535E-05	-0.336382926837114	0.109	0.121	1	Pyr1	NHLRC3
MYO18A	MYO18A	6.62944E-05	-0.318571367087678	0.095	0.109	1	Pyr1	MYO18A
SF1	SF1	7.60577E-05	-0.364561051161206	0.293	0.22	1	Pyr1	SF1
TMEM260	TMEM260	9.25093E-05	-0.309396678653486	0.226	0.172	1	Pyr1	TMEM260
CCM2	CCM2	1.03232E-04	-0.280303021209424	0.158	0.122	1	Pyr1	CCM2
TSEN15	TSEN15	1.19496E-04	-0.289835815477582	0.088	0.101	1	Pyr1	TSEN15
PTAR1	PTAR1	1.32687E-04	-0.328349028541249	0.109	0.12	1	Pyr1	PTAR1
SLC12A6	SLC12A6	1.74624E-04	-0.254762575225354	0.155	0.12	1	Pyr1	SLC12A6
NFASC	NFASC	1.81336E-04	-0.348911827037537	0.648	0.434	1	Pyr1	NFASC
PIGU	PIGU	1.83867E-04	-0.298470765903766	0.205	0.158	1	Pyr1	PIGU
FNDC3A	FNDC3A	2.03187E-04	-0.322391478903769	0.518	0.363	1	Pyr1	FNDC3A
FBXL4	FBXL4	2.19505E-04	-0.296986282730045	0.205	0.158	1	Pyr1	FBXL4
HACD2	HACD2	2.25702E-04	-0.357165857103976	0.125	0.134	1	Pyr1	HACD2
SORT1	SORT1	2.72800E-04	-0.356875595442713	0.742	0.545	1	Pyr1	SORT1
PCDH17	PCDH17	3.09452E-04	-0.323491624681773	0.236	0.182	1	Pyr1	PCDH17
SRSF10	SRSF10	3.18917E-04	-0.265819111172546	0.163	0.127	1	Pyr1	SRSF10
SPOP	SPOP	3.23873E-04	-0.289276408194494	0.202	0.157	1	Pyr1	SPOP
ZMYM2	ZMYM2	4.31284E-04	-0.304223359764427	0.648	0.442	1	Pyr1	ZMYM2
ZNF207	ZNF207	4.66090E-04	-0.366204737389322	0.341	0.253	1	Pyr1	ZNF207
DECR1	DECR1	4.84966E-04	-0.263255996212265	0.183	0.143	1	Pyr1	DECR1
ACSS2	ACSS2	5.11747E-04	-0.254264302387832	0.135	0.105	1	Pyr1	ACSS2
CAMK2N1	CAMK2N1	5.59496E-04	-0.336788948402304	0.275	0.212	1	Pyr1	CAMK2N1
NSD1	NSD1	5.91659E-04	-0.369196088990731	0.437	0.314	1	Pyr1	NSD1
AGO3	AGO3	6.42527E-04	-0.364798711568149	0.467	0.332	1	Pyr1	AGO3
TTC27	TTC27	6.45751E-04	-0.282317091195299	0.158	0.124	1	Pyr1	TTC27
FAM110B	FAM110B	6.52193E-04	-0.296000250058981	0.184	0.145	1	Pyr1	FAM110B
GOLGA4	GOLGA4	8.15753E-04	-0.333560150014329	0.612	0.419	1	Pyr1	GOLGA4
HMGN3	HMGN3	8.64520E-04	-0.302439051963309	0.199	0.157	1	Pyr1	HMGN3
TPPP	TPPP	8.77083E-04	-0.272133112653895	0.17	0.135	1	Pyr1	TPPP
COL4A3BP	COL4A3BP	1.06958E-03	-0.361110123792589	0.298	0.225	1	Pyr1	COL4A3BP
